file,label,source,speaker,generator,language,group
audio/ai/garystafford/el_0001_c_part_002.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0001_c
audio/ai/garystafford/el_0001_c_part_003.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0001_c
audio/ai/garystafford/el_0001_c_part_004.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0001_c
audio/ai/garystafford/el_0001_c_part_005.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0001_c
audio/ai/garystafford/el_0001_part_001.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0001
audio/ai/garystafford/el_0002_c_part_001.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0002_c
audio/ai/garystafford/el_0003_c_part_004.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0003_c
audio/ai/garystafford/el_0003_part_001.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0003
audio/ai/garystafford/el_0003_part_002.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0003
audio/ai/garystafford/el_0003_part_003.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0003
audio/ai/garystafford/el_0004_c_part_001.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0004_c
audio/ai/garystafford/el_0004_c_part_002.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0004_c
audio/ai/garystafford/el_0004_c_part_003.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0004_c
audio/ai/garystafford/el_0005_part_001.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0005
audio/ai/garystafford/el_0005_part_002.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0005
audio/ai/garystafford/el_0006_c_part_002.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0006_c
audio/ai/garystafford/el_0006_c_part_003.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0006_c
audio/ai/garystafford/el_0006_part_001.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0006
audio/ai/garystafford/el_0007_c_part_001.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0007_c
audio/ai/garystafford/el_0007_c_part_002.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0007_c
audio/ai/garystafford/el_0008_c_part_003.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0008_c
audio/ai/garystafford/el_0008_c_part_004.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0008_c
audio/ai/garystafford/el_0008_c_part_005.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0008_c
audio/ai/garystafford/el_0008_c_part_006.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0008_c
audio/ai/garystafford/el_0008_part_001.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0008
audio/ai/garystafford/el_0008_part_002.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0008
audio/ai/garystafford/el_0009_c_part_004.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0009_c
audio/ai/garystafford/el_0009_c_part_005.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0009_c
audio/ai/garystafford/el_0009_c_part_006.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0009_c
audio/ai/garystafford/el_0009_c_part_007.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0009_c
audio/ai/garystafford/el_0009_c_part_008.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0009_c
audio/ai/garystafford/el_0009_c_part_009.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0009_c
audio/ai/garystafford/el_0009_c_part_010.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0009_c
audio/ai/garystafford/el_0009_c_part_011.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0009_c
audio/ai/garystafford/el_0009_c_part_012.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0009_c
audio/ai/garystafford/el_0009_c_part_013.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0009_c
audio/ai/garystafford/el_0009_c_part_014.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0009_c
audio/ai/garystafford/el_0009_part_001.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0009
audio/ai/garystafford/el_0009_part_002.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0009
audio/ai/garystafford/el_0009_part_003.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0009
audio/ai/garystafford/el_0010_c_part_005.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0010_c
audio/ai/garystafford/el_0010_c_part_006.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0010_c
audio/ai/garystafford/el_0010_c_part_007.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0010_c
audio/ai/garystafford/el_0010_c_part_008.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0010_c
audio/ai/garystafford/el_0010_c_part_009.flac,1,GaryStafford,,ElevenLabs,en,GaryStafford::ai::ElevenLabs::0010_c
